LAD20CD,DateRange,Low_Weight_Births
S12000005,2000,2.48
S12000005,2001,3.03
S12000005,2002,3.16
S12000005,2003,3.5
S12000005,2004,3.28
S12000005,2005,3.01
S12000005,2006,3.21
S12000005,2007,3.07
S12000005,2008,3.03
S12000005,2009,2.14
S12000005,2010,2.13
S12000005,2011,2.55
S12000005,2012,2.83
S12000005,2013,3.03
S12000005,2014,2.55
S12000005,2015,2.99
S12000005,2016,3.1
S12000005,2017,2.77
S12000006,2000,1.98
S12000006,2001,2.03
S12000006,2002,2.01
S12000006,2003,1.88
S12000006,2004,2.14
S12000006,2005,2.06
S12000006,2006,1.86
S12000006,2007,1.58
S12000006,2008,1.39
S12000006,2009,1.56
S12000006,2010,1.61
S12000006,2011,1.68
S12000006,2012,1.73
S12000006,2013,1.9
S12000006,2014,1.9
S12000006,2015,2.07
S12000006,2016,2.23
S12000006,2017,2.41
S12000008,2000,2.4
S12000008,2001,2.06
S12000008,2002,2.25
S12000008,2003,1.95
S12000008,2004,1.91
S12000008,2005,2.01
S12000008,2006,2.1
S12000008,2007,2.2
S12000008,2008,2.08
S12000008,2009,2.21
S12000008,2010,2.23
S12000008,2011,2.21
S12000008,2012,2.03
S12000008,2013,1.67
S12000008,2014,1.52
S12000008,2015,1.8
S12000008,2016,2.02
S12000008,2017,2.36
S12000010,2000,1.91
S12000010,2001,1.97
S12000010,2002,1.83
S12000010,2003,1.89
S12000010,2004,2.14
S12000010,2005,2
S12000010,2006,2.14
S12000010,2007,1.74
S12000010,2008,1.89
S12000010,2009,1.66
S12000010,2010,1.76
S12000010,2011,1.69
S12000010,2012,1.73
S12000010,2013,1.43
S12000010,2014,1.66
S12000010,2015,1.43
S12000010,2016,1.66
S12000010,2017,1.7
S12000011,2000,1.7
S12000011,2001,1.75
S12000011,2002,1.92
S12000011,2003,1.78
S12000011,2004,2.03
S12000011,2005,2.4
S12000011,2006,2.73
S12000011,2007,2.33
S12000011,2008,1.94
S12000011,2009,1.36
S12000011,2010,1.25
S12000011,2011,1.59
S12000011,2012,1.73
S12000011,2013,1.81
S12000011,2014,1.52
S12000011,2015,1.7
S12000011,2016,1.9
S12000011,2017,1.69
S12000013,2000,1.57
S12000013,2001,2.37
S12000013,2002,2.14
S12000013,2003,2.3
S12000013,2004,2.07
S12000013,2005,1.84
S12000013,2006,1.45
S12000013,2007,1.4
S12000013,2008,1.22
S12000013,2009,1.13
S12000013,2010,0.64
S12000013,2011,1.08
S12000013,2012,1.63
S12000013,2013,1.44
S12000013,2014,1.29
S12000013,2015,0.99
S12000013,2016,1.51
S12000013,2017,1.89
S12000014,2000,2.37
S12000014,2001,2.24
S12000014,2002,2.47
S12000014,2003,2.32
S12000014,2004,2.78
S12000014,2005,2.5
S12000014,2006,2.36
S12000014,2007,2.04
S12000014,2008,2.16
S12000014,2009,2.24
S12000014,2010,2.22
S12000014,2011,2.3
S12000014,2012,2.53
S12000014,2013,2.44
S12000014,2014,2.5
S12000014,2015,2.34
S12000014,2016,2.86
S12000014,2017,2.67
S12000017,2000,2.21
S12000017,2001,2.34
S12000017,2002,2.31
S12000017,2003,2.52
S12000017,2004,2.21
S12000017,2005,1.95
S12000017,2006,1.82
S12000017,2007,1.81
S12000017,2008,2.13
S12000017,2009,2.17
S12000017,2010,2.05
S12000017,2011,1.57
S12000017,2012,1.35
S12000017,2013,1.45
S12000017,2014,1.66
S12000017,2015,1.78
S12000017,2016,1.88
S12000017,2017,1.93
S12000018,2000,2.48
S12000018,2001,2.71
S12000018,2002,2.69
S12000018,2003,2.55
S12000018,2004,2.79
S12000018,2005,2.83
S12000018,2006,3.13
S12000018,2007,2.59
S12000018,2008,2.36
S12000018,2009,2.03
S12000018,2010,2.62
S12000018,2011,2.94
S12000018,2012,3.14
S12000018,2013,2.6
S12000018,2014,2.53
S12000018,2015,2.02
S12000018,2016,2.25
S12000018,2017,2.18
S12000019,2000,2.13
S12000019,2001,2.49
S12000019,2002,2.65
S12000019,2003,2.38
S12000019,2004,1.82
S12000019,2005,1.88
S12000019,2006,1.87
S12000019,2007,1.95
S12000019,2008,1.9
S12000019,2009,2.06
S12000019,2010,2.08
S12000019,2011,2.17
S12000019,2012,2.08
S12000019,2013,1.88
S12000019,2014,1.56
S12000019,2015,1.81
S12000019,2016,2
S12000019,2017,2.07
S12000020,2000,1.88
S12000020,2001,2.03
S12000020,2002,2.1
S12000020,2003,1.92
S12000020,2004,2.12
S12000020,2005,2.19
S12000020,2006,2.43
S12000020,2007,1.82
S12000020,2008,1.38
S12000020,2009,1.27
S12000020,2010,1.55
S12000020,2011,1.71
S12000020,2012,1.73
S12000020,2013,1.58
S12000020,2014,1.87
S12000020,2015,2.09
S12000020,2016,2.3
S12000020,2017,1.98
S12000021,2000,2.44
S12000021,2001,2.46
S12000021,2002,2.35
S12000021,2003,2.2
S12000021,2004,2.27
S12000021,2005,2.21
S12000021,2006,2.46
S12000021,2007,2.26
S12000021,2008,2.41
S12000021,2009,2.34
S12000021,2010,2.4
S12000021,2011,2.46
S12000021,2012,2.1
S12000021,2013,2.13
S12000021,2014,1.76
S12000021,2015,2.42
S12000021,2016,2.47
S12000021,2017,2.71
S12000023,2000,0.24
S12000023,2001,0.47
S12000023,2002,1.16
S12000023,2003,1.32
S12000023,2004,1.06
S12000023,2005,0.38
S12000023,2006,0.37
S12000023,2007,0.54
S12000023,2008,0.93
S12000023,2009,1.12
S12000023,2010,1.13
S12000023,2011,0.91
S12000023,2012,0.92
S12000023,2013,1.54
S12000023,2014,2.59
S12000023,2015,2.81
S12000023,2016,2.41
S12000023,2017,1.46
S12000026,2000,2.08
S12000026,2001,2.22
S12000026,2002,2.28
S12000026,2003,2.34
S12000026,2004,2.44
S12000026,2005,2.32
S12000026,2006,2.28
S12000026,2007,2.6
S12000026,2008,2.49
S12000026,2009,2.28
S12000026,2010,1.82
S12000026,2011,1.85
S12000026,2012,1.92
S12000026,2013,1.69
S12000026,2014,1.61
S12000026,2015,1.39
S12000026,2016,1.26
S12000026,2017,1.36
S12000027,2000,1.47
S12000027,2001,1.28
S12000027,2002,1.26
S12000027,2003,0.95
S12000027,2004,0.95
S12000027,2005,1.05
S12000027,2006,0.91
S12000027,2007,0.88
S12000027,2008,0.72
S12000027,2009,1.11
S12000027,2010,1.4
S12000027,2011,1.82
S12000027,2012,1.42
S12000027,2013,0.98
S12000027,2014,0.62
S12000027,2015,0.9
S12000027,2016,0.79
S12000027,2017,0.97
S12000028,2000,2.25
S12000028,2001,2.09
S12000028,2002,1.95
S12000028,2003,1.63
S12000028,2004,1.68
S12000028,2005,1.87
S12000028,2006,1.92
S12000028,2007,1.86
S12000028,2008,1.66
S12000028,2009,1.74
S12000028,2010,1.82
S12000028,2011,1.81
S12000028,2012,1.96
S12000028,2013,1.73
S12000028,2014,1.55
S12000028,2015,1.36
S12000028,2016,1.66
S12000028,2017,1.91
S12000029,2000,2.5
S12000029,2001,2.37
S12000029,2002,2.38
S12000029,2003,2.2
S12000029,2004,2.28
S12000029,2005,2.35
S12000029,2006,2.13
S12000029,2007,1.91
S12000029,2008,1.9
S12000029,2009,1.86
S12000029,2010,1.86
S12000029,2011,1.83
S12000029,2012,1.82
S12000029,2013,1.87
S12000029,2014,1.73
S12000029,2015,1.83
S12000029,2016,1.83
S12000029,2017,1.96
S12000030,2000,1.73
S12000030,2001,1.57
S12000030,2002,1.43
S12000030,2003,1.72
S12000030,2004,2
S12000030,2005,1.99
S12000030,2006,1.98
S12000030,2007,2.02
S12000030,2008,1.95
S12000030,2009,1.97
S12000030,2010,1.74
S12000030,2011,1.82
S12000030,2012,1.78
S12000030,2013,1.66
S12000030,2014,1.66
S12000030,2015,1.27
S12000030,2016,1.51
S12000030,2017,1.28
S12000033,2000,2.35
S12000033,2001,2.24
S12000033,2002,2.44
S12000033,2003,2.47
S12000033,2004,2.77
S12000033,2005,2.48
S12000033,2006,2.43
S12000033,2007,2.23
S12000033,2008,2.29
S12000033,2009,2.32
S12000033,2010,2.05
S12000033,2011,2.01
S12000033,2012,1.72
S12000033,2013,1.85
S12000033,2014,1.75
S12000033,2015,1.72
S12000033,2016,1.58
S12000033,2017,1.69
S12000034,2000,1.84
S12000034,2001,1.83
S12000034,2002,2.08
S12000034,2003,1.83
S12000034,2004,1.79
S12000034,2005,1.65
S12000034,2006,1.56
S12000034,2007,1.5
S12000034,2008,1.19
S12000034,2009,1.27
S12000034,2010,1.21
S12000034,2011,1.51
S12000034,2012,1.45
S12000034,2013,1.55
S12000034,2014,1.41
S12000034,2015,1.45
S12000034,2016,1.42
S12000034,2017,1.44
S12000035,2000,1.57
S12000035,2001,1.9
S12000035,2002,2.27
S12000035,2003,2.58
S12000035,2004,2.68
S12000035,2005,2.74
S12000035,2006,2.6
S12000035,2007,2.31
S12000035,2008,1.67
S12000035,2009,1.36
S12000035,2010,1.28
S12000035,2011,1.46
S12000035,2012,1.7
S12000035,2013,1.89
S12000035,2014,1.96
S12000035,2015,1.83
S12000035,2016,1.7
S12000035,2017,1.93
S12000036,2000,2.31
S12000036,2001,2.25
S12000036,2002,2.24
S12000036,2003,2.26
S12000036,2004,2.35
S12000036,2005,2.4
S12000036,2006,2.43
S12000036,2007,2.33
S12000036,2008,2.17
S12000036,2009,1.89
S12000036,2010,1.76
S12000036,2011,1.65
S12000036,2012,1.72
S12000036,2013,1.51
S12000036,2014,1.51
S12000036,2015,1.64
S12000036,2016,1.67
S12000036,2017,1.67
S12000038,2000,2.57
S12000038,2001,2.39
S12000038,2002,2.44
S12000038,2003,2.6
S12000038,2004,2.7
S12000038,2005,2.91
S12000038,2006,2.88
S12000038,2007,2.73
S12000038,2008,2.5
S12000038,2009,2.46
S12000038,2010,2.6
S12000038,2011,2.7
S12000038,2012,2.65
S12000038,2013,2.59
S12000038,2014,2.84
S12000038,2015,2.7
S12000038,2016,2.59
S12000038,2017,2.13
S12000039,2000,3.02
S12000039,2001,3.18
S12000039,2002,3.41
S12000039,2003,3.15
S12000039,2004,3.09
S12000039,2005,2.88
S12000039,2006,2.86
S12000039,2007,2.3
S12000039,2008,2.1
S12000039,2009,2.21
S12000039,2010,2.43
S12000039,2011,2.04
S12000039,2012,2.02
S12000039,2013,2.06
S12000039,2014,2.5
S12000039,2015,2.66
S12000039,2016,2.74
S12000039,2017,2.46
S12000040,2000,2.56
S12000040,2001,2.42
S12000040,2002,2.52
S12000040,2003,2.39
S12000040,2004,2.47
S12000040,2005,2.41
S12000040,2006,2.29
S12000040,2007,2.16
S12000040,2008,1.97
S12000040,2009,2.29
S12000040,2010,2.58
S12000040,2011,2.71
S12000040,2012,2.46
S12000040,2013,1.95
S12000040,2014,1.92
S12000040,2015,1.92
S12000040,2016,1.94
S12000040,2017,2.08
S12000041,2000,1.25
S12000041,2001,1.56
S12000041,2002,1.74
S12000041,2003,2.18
S12000041,2004,2.18
S12000041,2005,2.26
S12000041,2006,2.1
S12000041,2007,1.68
S12000041,2008,1.37
S12000041,2009,1.32
S12000041,2010,1.57
S12000041,2011,1.95
S12000041,2012,1.78
S12000041,2013,1.45
S12000041,2014,1.16
S12000041,2015,1.35
S12000041,2016,1.53
S12000041,2017,1.51
S12000042,2000,3.09
S12000042,2001,2.97
S12000042,2002,2.93
S12000042,2003,2.36
S12000042,2004,2.47
S12000042,2005,2.44
S12000042,2006,2.68
S12000042,2007,2.49
S12000042,2008,2.62
S12000042,2009,2.37
S12000042,2010,2.45
S12000042,2011,1.93
S12000042,2012,2.3
S12000042,2013,2.47
S12000042,2014,2.74
S12000042,2015,2.65
S12000042,2016,2.43
S12000042,2017,2.36
S12000045,2000,2.02
S12000045,2001,2.46
S12000045,2002,2.38
S12000045,2003,1.88
S12000045,2004,1.71
S12000045,2005,1.46
S12000045,2006,1.48
S12000045,2007,1.63
S12000045,2008,1.74
S12000045,2009,1.88
S12000045,2010,1.7
S12000045,2011,1.45
S12000045,2012,1.5
S12000045,2013,1.52
S12000045,2014,1.84
S12000045,2015,1.7
S12000045,2016,1.44
S12000045,2017,1.16
S12000047,2000,2.14
S12000047,2001,2.09
S12000047,2002,2.29
S12000047,2003,2.56
S12000047,2004,2.59
S12000047,2005,2.51
S12000047,2006,2.37
S12000047,2007,2.36
S12000047,2008,2.4
S12000047,2009,2.3
S12000047,2010,2.27
S12000047,2011,2.12
S12000047,2012,1.98
S12000047,2013,1.84
S12000047,2014,1.93
S12000047,2015,2.06
S12000047,2016,2.28
S12000047,2017,2.15
S12000048,2000,1.97
S12000048,2001,1.78
S12000048,2002,1.74
S12000048,2003,1.67
S12000048,2004,1.75
S12000048,2005,1.76
S12000048,2006,1.73
S12000048,2007,1.54
S12000048,2008,1.5
S12000048,2009,1.46
S12000048,2010,1.68
S12000048,2011,1.65
S12000048,2012,1.56
S12000048,2013,1.47
S12000048,2014,1.43
S12000048,2015,1.69
S12000048,2016,2.02
S12000048,2017,2.08
S12000049,2000,3.49
S12000049,2001,3.54
S12000049,2002,3.59
S12000049,2003,3.61
S12000049,2004,3.71
S12000049,2005,3.44
S12000049,2006,3.4
S12000049,2007,3.04
S12000049,2008,3.02
S12000049,2009,2.6
S12000049,2010,2.53
S12000049,2011,2.51
S12000049,2012,2.67
S12000049,2013,2.68
S12000049,2014,2.58
S12000049,2015,2.47
S12000049,2016,2.54
S12000049,2017,2.48
S12000050,2000,2.81
S12000050,2001,2.89
S12000050,2002,2.76
S12000050,2003,2.68
S12000050,2004,2.49
S12000050,2005,2.38
S12000050,2006,2.42
S12000050,2007,2.34
S12000050,2008,2.12
S12000050,2009,1.92
S12000050,2010,1.91
S12000050,2011,2.01
S12000050,2012,2.16
S12000050,2013,2.1
S12000050,2014,2.18
S12000050,2015,1.92
S12000050,2016,2.05
S12000050,2017,2.02
S92000003,2000,2.42
S92000003,2001,2.43
S92000003,2002,2.49
S92000003,2003,2.45
S92000003,2004,2.5
S92000003,2005,2.42
S92000003,2006,2.4
S92000003,2007,2.23
S92000003,2008,2.15
S92000003,2009,2.04
S92000003,2010,2.03
S92000003,2011,2.02
S92000003,2012,2.02
S92000003,2013,1.95
S92000003,2014,1.94
S92000003,2015,1.95
S92000003,2016,2.03
S92000003,2017,2.02
